_id|isPb|wpm|acc|rawWpm|consistency|charStats|mode|mode2|quoteLength|restartCount|testDuration|afkDuration|incompleteTestSeconds|punctuation|numbers|language|funbox|difficulty|lazyMode|blindMode|bailedOut|tags|timestamp
65b09d10ae13999a0658ea7e||85.57|100|85.57|80.26|107,0,0,0|time|15|-1|5|15|0|18.01|false|false|english|none|normal|false|false|false||1706073360000
65b09cdaae13999a0658e8ba||83.99|100|83.99|88.34|105,0,0,0|time|15|-1|11|15|0|53.9|false|false|english|none|normal|false|false|false||1706073306000
65b09c7eae13999a0658e5b3||83.99|98.13|83.99|79.61|105,0,0,0|time|15|-1|3|15|0|14.34|false|false|english|none|normal|false|false|false||1706073214000
65b09c59ae13999a0658e48b||86.34|98.2|88.74|82.35|108,2,0,0|time|15|-1|3|15.01|0|16.84|false|false|english|none|normal|false|false|false||1706073177000
65b09c34ae13999a0658e341||87.14|100|87.14|87.22|109,0,0,0|time|15|-1|1|15.01|0|2.16|false|false|english|none|normal|false|false|false||1706073140000
65b09c15ae13999a0658e23a||86.31|100|86.31|84.62|108,0,0,0|time|15|-1|7|15.02|0|42.01|false|false|english|none|normal|false|false|false||1706073109000
65b09bd1ae13999a0658dff5||78.39|97.2|85.59|80.26|98,1,1,0|time|15|-1|4|15|0|15.84|false|false|english|none|normal|false|false|false||1706073041000
65b09ba9ae13999a0658debf|true|88.77|99.11|88.77|81.14|111,0,0,0|time|15|-1|6|15|0|23.88|false|false|english|none|normal|false|false|false||1706073001000
65b09b76ae13999a0658dd16||83.98|99.06|83.98|82.5|105,0,0,0|time|15|-1|1|15|0|0.12|false|false|english|none|normal|false|false|false||1706072950000
65b09b60ae13999a0658dc63||71.98|97.87|75.18|74.29|90,1,0,0|time|15|-1|1|15|0|1.55|false|false|english|none|normal|false|false|false||1706072928000
65b09b4cae13999a0658dbb0||62.38|97.59|65.58|44.66|78,1,0,0|time|15|-1|5|15.01|1|21.51|false|false|english|none|normal|false|false|false||1706072908000
65b09b1dae13999a0658da3a||79.95|99.01|79.95|80.1|100,0,0,0|time|15|-1|2|15.01|0|8.99|false|false|english|none|normal|false|false|false||1706072861000
65b09af4ae13999a0658d91b|true|86.37|98.18|86.37|77.92|108,0,0,0|time|15|-1|1|15|0|1.59|false|false|english|none|normal|false|false|false||1706072820000
65aeed60ae13999a0647f84d||78.38|98.99|78.38|82.68|196,0,0,0|time|30|-1|1|30.01|0|27.4|false|false|english|none|normal|false|false|false||1705962848000
65aeed1eae13999a0647f633||71.99|96.26|71.99|72.62|180,0,0,0|time|30|-1|2|30.01|0|19.59|false|false|english|none|normal|false|false|false||1705962782000
65aeece5ae13999a0647f459||72.39|97.84|72.39|74.16|181,0,0,0|time|30|-1|4|30|0|30.37|false|false|english|none|normal|false|false|false||1705962725000
65aeec96ae13999a0647f1d7||75.98|97.95|75.98|75.27|190,0,0,0|time|30|-1|3|30.01|0|19.63|false|false|english|none|normal|false|false|false||1705962646000
65aeec52ae13999a0647efc3||67.58|96.05|67.58|64.63|169,0,0,0|time|30|-1|1|30.01|0|13.51|false|false|english|none|normal|false|false|false||1705962578000
65ad9b6e908c90eb445f491a||77.99|96.53|77.99|76.07|195,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1705876334000
65ad88ab908c90eb445ec277||73.59|97.37|73.59|66.8|184,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1705871531000
65a6673c908c90eb441bc8ab|true|70.3|95.78|70.3|72.91|589,0,0,0|custom|custom|-1|1|100.54|0|32.91|false|false|english|none|normal|false|false|false||1705404220000
65a66695908c90eb441bc2f7|true|78.79|97.07|81.58|75.78|197,4,0,0|time|30|-1|2|30.01|0|4.75|false|false|english|none|normal|false|false|false||1705404053000
65a6664b908c90eb441bc05e||73.99|95.9|73.99|71.43|185,0,0,0|time|30|-1|2|30|0|35.33|false|false|english|none|normal|false|false|false||1705403979000
65a665eb908c90eb441bbd12|true|77.19|96.02|77.19|73.26|193,0,0,0|time|30|-1|0|30.01|0|0|false|false|english|none|normal|false|false|false||1705403883000
65a66567908c90eb441bb893|true|75.59|96.94|75.59|76.05|189,0,0,0|time|30|-1|0|30|0|0|false|false|english|none|normal|false|false|false||1705403751000
658c4a95a65b7d25a15fb5a0|true|53.43|94.32|60.33|63.89|480,11,6,0|words|100|-1|0|107.8|1|0|true|false|english|none|normal|false|false|false||1703692949000
